,ER,ERGIC,Golgi,Lysosome,Mitochondria,Early endo.,Plasma Mb,Actin cortex,Peroxisome,Cytosol,Nucleus,Nuclear pore,Nucleolus
ANKRD46,0.7473037767185666,0.1733784292255562,0.0516680861907435,0.1820982233707451,0.0939001865020492,0.2001157826592055,0.3151418747151256,0.1469274692010078,0.0305354940959364,0.1697814602459058,0.3446812466370029,0.1538343415079268,0.1547627362496449
C4orf3,0.8346703925797482,0.2064410070694893,0.0056630964188066,0.1816266520941098,0.0769570778697094,0.2305200017554499,0.2414106498958934,0.1256465309868308,0.147410270721057,0.0917331645134712,0.2369370554380035,0.0876889790947129,0.1063716062393693
SFT2D3,0.2698242591096977,0.4014619259370076,0.5478715920727498,0.5922482291065586,0.5183706415457976,0.4499232816583643,0.3077441378982182,0.2476361848158785,0.392975538306757,0.2679832132422093,0.4080258968919084,0.3281565435042298,0.1743025331401857
KLRG2,0.2804782357457984,0.1444928102009246,0.1910570144319249,0.1041892356435536,0.1643043980243737,0.0008894081866207,0.8566747355247658,0.2909001687155883,0.1164357762621555,0.4208955331782097,0.3300420847087534,0.1163419425776586,0.2053133835708737
NAT14,0.761708777745892,0.2275319927749884,0.106134037114603,0.1875531300138855,0.1699019257962819,0.1893929098572013,0.2804963947718026,0.078717170519294,0.0526027474970756,0.1857153388225381,0.359384284886173,0.1574944580328001,0.2130153869903026
ODR4,0.7548556899192701,0.2003646035940766,0.0560157712102897,0.1482050543350799,0.1418633829203024,0.1619488040212535,0.2996259074609159,0.0703900834891041,0.0151601757107648,0.1893196103939879,0.3673825229183581,0.14792095347458,0.2046518260754732
CD276,0.400579121264907,0.2298785268842962,0.1505066186126382,0.2572948539242665,0.3293981687150746,0.1947038949572352,0.7616687950455953,0.3652392047612898,0.1637208682263173,0.2630450793142391,0.2825110415124012,0.364644891544422,0.3301283647164261
TSPAN3,0.393654176964024,0.2556319476286136,0.4026272039370371,0.6553244294108607,0.5875758703276245,0.1112234570898877,0.211959513248638,0.1603356839265733,0.2692581899797904,0.2432872350564849,0.2712857409625757,0.3968969663142737,0.2536273096854701
MFSD5,0.2971528529410057,0.4009558222195022,0.813938299815762,0.4546618063039298,0.342538779316635,0.3982111410168516,0.294199391079559,0.2899826493712647,0.4522266204473838,0.2829851831643301,0.3534559442342793,0.2413317378843584,0.197485013761925
TP53I11,0.7580054993928795,0.2613949336520296,0.2075857863363668,0.1755232208335619,0.2157446484041609,0.0657542235611697,0.4724055245394065,0.1679680804606694,0.2164314624178949,0.3287908143316506,0.3104362113513441,0.067469582844066,0.2389423669298649
CD99,0.2620826109931298,0.2062731205816149,0.173664281658213,0.2966775274643339,0.212379710360553,0.2524128726773088,0.916384076431277,0.3445470904758658,0.3412518458921474,0.2422968154917164,0.3467271091307131,0.3496881712577342,0.35228248907833
SUSD5,0.3047341758489027,0.2559373650224037,0.2672194338813287,0.2102679936519438,0.139005159512084,0.1639064554595519,0.6943505750400003,0.5056725093125665,0.2263136242823215,0.1295038227540836,0.2357266725149124,0.2447305853013194,0.1088699504040776
TMEM245,0.6558774117870102,0.1436601835072027,0.0862734143027742,0.2261766856180407,0.1885177020281244,0.1759530657770849,0.4504087044474836,0.1698684827219992,0.0613696088835498,0.0465996047109459,0.2236057911801869,0.1629872983083293,0.1628536024969609
TMEM41A,0.606135739939258,0.5095447365018604,0.2923072651989948,0.1537236130053021,0.2406872595749712,0.1755751754814999,0.4847934554430759,0.1611894200160699,0.1154057088516775,0.1879940021359987,0.2967419047036523,0.174446398868833,0.1249386913800367
TMEM209,0.3266770399966401,0.4336011745144452,0.4751034426032585,0.3730516580549976,0.1975442398347469,0.3442698189528164,0.3956127659181323,0.223463657078611,0.3846095209068911,0.274222843370246,0.4553913372058197,0.6746813603942349,0.2179079755597494
ZZEF1,0.4434735311941497,0.0161513447252084,-0.2042844925655516,-0.1301841680321345,-0.0098741887462034,-0.0893382498026378,0.1291111454379465,-0.0635252488459947,-0.2789350229933376,0.8368302074211511,0.0536720163146071,-0.0981760961250719,0.0255676113898454
KIAA1522,0.1950009611039475,0.5450050428979316,0.4017962772340829,0.2949084483513835,0.1075189434944924,0.4174089238794554,0.4472626121789083,0.4677410455301141,0.4669923000733188,0.1062337298007719,0.3742799248429465,0.3096712676311979,0.1074654724831492
MPZL1,0.3202115669765932,0.2777804937568842,0.4019333898068818,0.3836928606105896,0.2560136396590775,0.4328405549980296,0.3290503086523717,0.3407746070154909,0.3670936111922994,0.2507176603715993,0.3684291975952736,0.3768985563520215,0.2207714959062646
TMEM184C,0.3191447499444988,0.2270058514363342,0.3817973330881008,0.6665728679278552,0.450650248954098,0.2532354964580969,0.3278445809974784,0.1789900034677521,0.2587678534949575,0.2238983677963929,0.345190779900477,0.3178094167078867,0.240635277456351
TVP23C,0.3100332440036062,0.5430155969529824,0.6362026180195838,0.314937079211893,0.3910846956658651,0.6111417590893715,0.4548271825468397,0.302477574828538,0.5371100387843235,0.339262040137176,0.3798533099912637,0.3183263777095139,0.1622804383694935
SFT2D2,0.4643860085186928,0.176373356657324,0.1196266040284151,0.1914183815166734,0.3790900933729222,0.3193602406989456,0.6496341177953022,0.1986895986591723,0.1086095715668858,0.1274078719057163,0.3017867464320174,0.2872077963484197,0.3112956307111127
CMTM4,0.3339516514910423,0.1901381732105217,0.0706159634040886,0.2376642006853215,0.3084872294204044,0.1481748380942791,0.8184243527501599,0.3020850694876807,0.0889872301572843,0.2671317718822366,0.2973366130232324,0.1976114230020279,0.2946384144497609
SCAMP3,0.2526936875665955,0.3363752240821561,0.2205580537254861,0.0667949539023551,0.2383286384895475,0.6270255553501372,0.3901078667525449,0.3366872661515457,-0.0507843991497301,0.038209688953685,0.2857125002507276,0.2156522647164847,0.0898243356711515
CD151,0.3795533078436668,0.4177103695196309,0.0719997551037235,0.5388934697874573,0.2684628615467784,0.0534929104060794,0.7545506212488908,0.3071758883589579,-0.016209320324648,0.0774902305447473,0.3297974088405838,0.1707764558432849,0.2605365697477113
SLC35F1,0.278182699505286,0.3577691956751132,0.2503506851574879,0.2169244313622402,0.215253203993578,0.5254696579488072,0.3132793798722801,0.343125798812852,0.2267437071003263,0.0410901433232808,0.3238685921572626,0.3242737429391109,0.0851186530870679
SLC35F2,0.334055447754815,0.4628339313427325,0.4539892664078224,0.2513348909414884,0.1730543764239052,0.3566795880628786,0.5167695417253221,0.2415722221164352,0.4056176375076863,-0.0214968862524149,0.3352191129033826,0.2467789247319141,0.1397232333768575
CMTM7,0.3303722043734821,0.0983802730210738,0.2149518556390042,0.0207977076406766,-0.0082117607563858,0.2871219379323613,0.672600447711029,0.3196897718052032,0.1891637783113635,0.2833854041726655,0.3904535410302009,0.0619135383931694,0.2146274414340935
SCAMP4,0.4149474577907878,0.2063701614449178,0.1928515067848433,0.1502827785188767,0.2948749306648472,0.4608546545929552,0.572310421409287,0.4083803961802774,0.1339100372202424,0.1672725411617293,0.2867980204540976,0.3456233402069022,0.195748320001192
TSPAN6,0.4606963410542432,0.6022832368476057,0.3012120899634498,0.2530058002064153,0.2140237378384413,0.4637078182552724,0.6561401240835337,0.2725519166762559,0.1375698244504481,0.1329969369627222,0.2638020003689314,0.1266484425926508,0.1618763984889506
TPRA1,0.2853879098279217,0.2962314704072586,0.3630039184593092,0.6473441729929476,0.4120394377929813,0.2612164367717775,0.2881811699314212,0.1389382340292213,0.3506720373946786,0.2489874877554672,0.3432216007683957,0.366319662325527,0.2327634954067736
GLT8D1,0.292006191590757,0.1610244344724258,0.087493664020415,0.2291350325097642,0.1640956979040264,0.1992058498583362,0.2313600701628889,0.1886693422657051,0.2371706900511717,0.1764471364739959,0.363142671335705,0.1459736562557361,0.7570999762176368
